order,Date,Price,Open,High,Low,Vol.,Change %
574,"Oct 30, 2017","1,327.80","1,327.80","1,327.80","1,327.80",0.22K,0.44%
573,"Oct 31, 2017","1,320.60","1,320.60","1,320.60","1,320.60",0.24K,-0.54%
572,"Nov 01, 2017","1,327.50","1,327.50","1,327.50","1,327.50",0.05K,0.52%
571,"Nov 02, 2017","1,328.30","1,328.30","1,328.30","1,328.30",0.07K,0.06%
570,"Nov 03, 2017","1,319.80","1,319.80","1,319.80","1,319.80",0.02K,-0.64%
569,"Nov 06, 2017","1,332.40","1,332.40","1,332.40","1,332.40",0.00K,0.95%
568,"Nov 07, 2017","1,326.50","1,326.50","1,326.50","1,326.50",0.00K,-0.44%
567,"Nov 08, 2017","1,334.90","1,334.90","1,334.90","1,334.90",0.02K,0.63%
566,"Nov 09, 2017","1,339.40","1,339.40","1,339.40","1,339.40",0.03K,0.34%
565,"Nov 10, 2017","1,327.10","1,329.60","1,329.60","1,329.60",0.05K,-0.92%
564,"Nov 13, 2017","1,332.50","1,332.50","1,332.50","1,332.50",0.00K,0.41%
563,"Nov 14, 2017","1,336.30","1,335.70","1,335.70","1,335.70",0.02K,0.29%
562,"Nov 15, 2017","1,330.80","1,330.80","1,330.80","1,330.80",0.01K,-0.41%
561,"Nov 16, 2017","1,331.50","1,331.50","1,331.50","1,331.50",0.04K,0.05%
560,"Nov 17, 2017","1,350.10","1,350.10","1,350.10","1,350.10",0.00K,1.40%
559,"Nov 20, 2017","1,329.40","1,343.90","1,345.30","1,334.40",0.01K,-1.53%
558,"Nov 21, 2017","1,336.50","1,336.50","1,336.50","1,336.50",0.02K,0.53%
557,"Nov 22, 2017","1,347.10","1,336.50","1,348.60","1,336.50",0.24K,0.79%
556,"Nov 23, 2017","1,291.66","1,291.19","1,293.87","1,287.65",-,-4.12%
555,"Nov 24, 2017","1,342.30","1,342.30","1,342.30","1,342.30",0.01K,3.92%
554,"Nov 27, 2017","1,349.40","1,348.00","1,348.00","1,348.00",0.00K,0.53%
553,"Nov 28, 2017","1,349.70","1,349.70","1,349.70","1,349.70",4.06K,0.02%
552,"Nov 29, 2017","1,337.10","1,342.00","1,342.00","1,342.00",0.00K,-0.93%
551,"Nov 30, 2017","1,328.00","1,328.00","1,328.00","1,328.00",0.09K,-0.68%
550,"Dec 01, 2017","1,333.50","1,333.50","1,333.50","1,333.50",0.00K,0.41%
549,"Dec 04, 2017","1,328.70","1,328.70","1,328.70","1,328.70",0.85K,-0.36%
548,"Dec 05, 2017","1,315.80","1,320.90","1,320.90","1,316.10",0.00K,-0.97%
547,"Dec 06, 2017","1,316.90","1,316.20","1,316.20","1,316.20",0.01K,0.08%
